GV,,,,,,,,,,,,,,,,,,
,,,,,"Internal Efforts CI
Non-bookable","Internal Efforts CI
bookable 1","Internal D Projects
1",Customer Request,Allegro D-Project 1,Pentatonic D-Project 1,TOTAL AOP 2027,"Internal Efforts CI
Non-bookable","Internal Efforts CI
bookable","Internal D-projects
bookable",Customer Request,Allegro D-Project,Pentatonic D-Project,Utilization Rate 2027
,Name,Location,Available hours (per Region 100%),Hourly rate,Other,Consulting Global,Agentic AI and LLM-Powered Enterprise Solutions (Report Gen.) +DEVOPS,Fuel,Creation of Test Standards,Method Development Pentatonic,,,,,,,,
TOTAL,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal hours,,,,,,,,,,,,,,,,,,
Internal hours,name,location,hours/year,Hourly rate,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal hours,name,location,hours/year,Hourly rate,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal hours,name,location,hours/year,Hourly rate,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal hours,name,location,hours/year,Hourly rate,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal hours,name,location,hours/year,Hourly rate,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal hours,name,location,hours/year,Hourly rate,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal hours,name,location,hours/year,Hourly rate,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal hours,name,location,hours/year,Hourly rate,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Subtotal,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Internal Costs,,,,,,,,,,,,,,,,,,
Internal Costs,,CAD,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Internal Costs,,GV CAE,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Internal Costs,,GV Test,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Internal Costs,,Sampling Bonn,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Internal Costs,,Sampling Pinghu,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Internal Costs,,Sampling Windsor,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Internal Costs,,PTF,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Internal Costs,,Internal Other,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Subtotal,,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
External Costs,,,,,,,,,,,,,,,,,,
External Costs,,Tooling,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
External Costs,,Sampling External,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
External Costs,,Testing,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
Subtotal,,External Offer,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
"Recovery                                                            (Cost Recovery, to be entered negative)",,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,
,,,,,,,,,,,,,,,,,,
Hourly rates,,,,,,,,,,,,,,,,,,
Location,Hourly rate,hours/year,,,,,,,,,,,,,,,,
GV CAE Bonn,$1.00,"1,600",,,,,,,,,,,,,,,,
GV Test Bonn,$1.00,"1,600",,,,,,,,,,,,,,,,
GV CAE India,$1.00,"1,600",,,,,,,,,,,,,,,,
GV CAE Mexico,$1.00,"1,600",,,,,,,,,,,,,,,,
GV CAE Romania,$1.00,"1,600",,,,,,,,,,,,,,,,
GV CAE Pinghu,$1.00,"1,600",,,,,,,,,,,,,,,,
GV Test Romania,$1.00,"1,600",,,,,,,,,,,,,,,,
GV Test Troy,$1.00,"1,600",,,,,,,,,,,,,,,,
GV Test KGZ,$1.00,"1,600",,,,,,,,,,,,,,,,
GV Test Pinghu,$1.00,"1,600",,,,,,,,,,,,,,,,
GV Test Mexico,$1.00,"1,600",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
